id,expression,category
724,Murphy's law,Small Talk
725,Story of my life,Small Talk
726,Tell me about it,Small Talk
727,You're telling me,Small Talk
728,I feel you,Small Talk
729,I hear you,Small Talk
730,I know right?,Small Talk
731,Totally feel that,Small Talk
732,Been there done that,Small Talk
733,I get it,Small Talk
734,Enough said,Small Talk
735,Said no one ever,Sarcasm & Humor
736,Calm before the storm,Idioms & Figurative
737,A blessing in disguise,Idioms & Figurative
738,Better safe than sorry,Idioms & Figurative
739,Bite your tongue,Idioms & Figurative
740,Burn the midnight oil,Idioms & Figurative
741,Couch potato,Idioms & Figurative
742,Devil's advocate,Idioms & Figurative
743,Doesn't hold water,Idioms & Figurative
744,Down to earth,Idioms & Figurative
745,Drop the ball,Idioms & Figurative
746,Eager beaver,Idioms & Figurative
747,Everything but the kitchen sink,Idioms & Figurative
748,Feel under the gun,Idioms & Figurative
749,Fifth wheel,Idioms & Figurative
750,Fit as a fiddle,Idioms & Figurative
751,Get a second wind,Idioms & Figurative
752,Give someone the cold shoulder,Idioms & Figurative
753,Go down in flames,Idioms & Figurative
754,Going out on a limb,Idioms & Figurative
755,Hang in the balance,Idioms & Figurative
756,Hit below the belt,Idioms & Figurative
757,Holding all the cards,Idioms & Figurative
758,Home stretch,Idioms & Figurative
759,In hot water,Idioms & Figurative
760,In the same boat,Idioms & Figurative
761,It cost a pretty penny,Idioms & Figurative
762,It takes a village,Idioms & Figurative
763,It's a long shot,Idioms & Figurative
764,It's a piece of cake,Idioms & Figurative
765,It's a slippery slope,Idioms & Figurative
766,It's anyone's guess,Idioms & Figurative
767,Jump the gun,Idioms & Figurative
768,Keep a low profile,Idioms & Figurative
769,Keep an eye out,Idioms & Figurative
770,Knuckle down,Idioms & Figurative
771,Leave well enough alone,Idioms & Figurative
772,Like a fish out of water,Idioms & Figurative
773,Lock horns,Idioms & Figurative
774,Loose cannon,Idioms & Figurative
775,Miss the mark,Idioms & Figurative
776,Nail it,Idioms & Figurative
777,Nip it in the bud,Idioms & Figurative
778,Not my cup of tea,Idioms & Figurative
779,On the ball,Idioms & Figurative
780,On the same wavelength,Idioms & Figurative
781,Open a can of worms,Idioms & Figurative
782,Over the hill,Idioms & Figurative
783,Pain in the neck,Idioms & Figurative
784,Par for the course,Idioms & Figurative
785,Piece of the pie,Idioms & Figurative
786,Play it by ear,Idioms & Figurative
787,Put all your cards on the table,Idioms & Figurative
788,Rain on someone's parade,Idioms & Figurative
789,Rule of thumb,Idioms & Figurative
790,Sit tight,Idioms & Figurative
791,Skating on thin ice,Idioms & Figurative
792,Sleep on it,Idioms & Figurative
793,Stab in the back,Idioms & Figurative
794,Stand on your own two feet,Idioms & Figurative
795,Start from scratch,Idioms & Figurative
796,Take a rain check,Idioms & Figurative
797,The last straw,Idioms & Figurative
798,Throw someone under the bus,Idioms & Figurative
799,Too little too late,Idioms & Figurative
800,Under the radar,Idioms & Figurative
801,Cross that bridge when we come to it,Life & Wisdom
802,Take it step by step,Life & Wisdom
803,Rome wasn't built in a day,Life & Wisdom
804,Good things take time,Life & Wisdom
805,Patience is a virtue,Life & Wisdom
806,It was meant to be,Life & Wisdom
807,It is what it is,Life & Wisdom
808,What will be will be,Life & Wisdom
809,Go with the flow,Life & Wisdom
810,Roll with the punches,Life & Wisdom
811,Take it as it comes,Life & Wisdom
812,Expect the unexpected,Life & Wisdom
813,Hope for the best prepare for the worst,Life & Wisdom
814,Forewarned is forearmed,Life & Wisdom
815,Better late than never,Life & Wisdom
816,It's never too late,Life & Wisdom
817,Live and learn,Life & Wisdom
818,You learn something new every day,Life & Wisdom
819,Hindsight is 20/20,Life & Wisdom
820,We live we learn,Life & Wisdom
821,I have a gut feeling,Intuition & Certainty
822,Something feels off,Intuition & Certainty
823,I have a hunch,Intuition & Certainty
824,Trust your instincts,Intuition & Certainty
825,My gut says no,Intuition & Certainty
826,I just know,Intuition & Certainty
827,Call it a feeling,Intuition & Certainty
828,I can feel it in my bones,Intuition & Certainty
829,Something tells me,Intuition & Certainty
830,I sense something is wrong,Intuition & Certainty
831,Without a doubt,Certainty
832,Beyond a shadow of a doubt,Certainty
833,Hands down,Certainty
834,No question about it,Certainty
835,That's for sure,Certainty
836,You can bet on it,Certainty
837,Mark my words,Certainty
838,Believe you me,Certainty
839,Not a chance,Certainty
840,Not in a million years,Certainty
841,Over my dead body,Certainty
842,When pigs fly,Certainty
843,Fat chance,Certainty
844,Don't hold your breath,Certainty
845,I wouldn't count on it,Certainty
846,I highly doubt it,Certainty
847,I have mixed feelings,Uncertainty & Doubt
848,I'm not sure,Uncertainty & Doubt
849,It's up in the air,Uncertainty & Doubt
850,Who knows,Uncertainty & Doubt
851,Your guess is as good as mine,Uncertainty & Doubt
852,I have no idea,Uncertainty & Doubt
853,Beats me,Uncertainty & Doubt
854,Don't ask me,Uncertainty & Doubt
855,I'm in the dark,Uncertainty & Doubt
856,Hard to say,Uncertainty & Doubt
857,Remains to be seen,Uncertainty & Doubt
858,Time will tell,Uncertainty & Doubt
859,Only time will tell,Uncertainty & Doubt
860,We'll see,Uncertainty & Doubt
861,I'll believe it when I see it,Uncertainty & Doubt
862,Could go either way,Uncertainty & Doubt
863,Fifty-fifty,Uncertainty & Doubt
864,Toss up,Uncertainty & Doubt
865,Oh my goodness,Surprise & Shock
866,Oh my word,Surprise & Shock
867,You're kidding me,Surprise & Shock
868,No way!,Surprise & Shock
869,Are you serious?,Surprise & Shock
870,I can't believe it,Surprise & Shock
871,Unbelievable,Surprise & Shock
872,Incredible,Surprise & Shock
873,Mind-blowing,Surprise & Shock
874,That blew my mind,Surprise & Shock
875,I'm speechless,Surprise & Shock
876,I'm flabbergasted,Surprise & Shock
877,I'm floored,Surprise & Shock
878,I'm stunned,Surprise & Shock
879,Holy cow,Surprise & Shock
880,What in the world,Surprise & Shock
881,What on earth,Surprise & Shock
882,I never saw that coming,Surprise & Shock
883,That came out of nowhere,Surprise & Shock
884,That caught me off guard,Surprise & Shock
885,What a plot twist,Surprise & Shock
886,Who would have thought,Surprise & Shock
887,I had no idea,Surprise & Shock
888,Color me surprised,Surprise & Shock
889,Well I'll be,Surprise & Shock
890,Get this straight,Clarification
891,Let me get this right,Clarification
892,What do you mean exactly?,Clarification
893,Could you elaborate?,Clarification
894,Can you be more specific?,Clarification
895,What are you getting at?,Clarification
896,I'm not following,Clarification
897,Could you say that again?,Clarification
898,Come again?,Clarification
899,I beg your pardon,Clarification
900,I didn't catch that,Clarification
901,Run that by me again,Clarification
902,You lost me,Clarification
903,I'm confused,Clarification
904,That went over my head,Clarification
905,Can you break it down?,Clarification
906,If I understand correctly,Clarification
907,What I'm hearing is,Clarification
908,So what you're saying is,Clarification
909,Correct me if I'm wrong,Clarification
910,Let me make sure I understand,Clarification
911,Are we on the same page?,Clarification
912,Is that right?,Clarification
913,Just to be clear,Clarification
914,To clarify,Clarification
915,Let me rephrase that,Clarification
916,What I'm trying to say is,Clarification
917,The point I'm making is,Clarification
918,Get the picture?,Clarification
919,Does that make sense?,Clarification
920,Are you with me?,Clarification
921,Still with me?,Clarification
922,Following so far?,Clarification
923,Any questions?,Clarification
924,Is that clear?,Clarification
925,We good?,Wrap-Up
926,All good,Wrap-Up
927,Good to go,Wrap-Up
928,We're all set,Wrap-Up
929,That's a wrap,Wrap-Up
930,That about covers it,Wrap-Up
931,I think that about does it,Wrap-Up
932,That's everything,Wrap-Up
933,We covered a lot of ground,Wrap-Up
934,Let's leave it there,Wrap-Up
935,That's the whole story,Wrap-Up
936,That's the full picture,Wrap-Up
937,That's the long and short of it,Wrap-Up
938,And that's that,Wrap-Up
939,So there you have it,Wrap-Up
940,There you go,Wrap-Up
941,And there it is,Wrap-Up
942,I rest my case,Wrap-Up
943,Case closed,Wrap-Up
944,My final answer,Wrap-Up
945,Pay it forward,Life & Wisdom
946,Lift as you climb,Life & Wisdom
947,Be a role model,Life & Wisdom
948,Inspire others,Life & Wisdom
949,Leave a legacy,Life & Wisdom
950,Pave your own path,Life & Wisdom
951,March to the beat of your own drum,Life & Wisdom
952,Self-improvement is a journey,Life & Wisdom
953,Growth mindset,Life & Wisdom
954,A journey of a thousand miles begins with a single step,Life & Wisdom
955,No shortcuts to success,Life & Wisdom
956,Earn your keep,Life & Wisdom
957,Strike while the iron is hot,Life & Wisdom
958,Make hay while the sun shines,Life & Wisdom
959,Don't throw stones in glass houses,Life & Wisdom
960,The pot calling the kettle black,Life & Wisdom
961,Fools rush in where angels fear to tread,Life & Wisdom
962,Do unto others as you would have them do unto you,Life & Wisdom
963,The golden rule,Life & Wisdom
964,Actions speak louder than words,Life & Wisdom
965,Carry your own weight,Life & Wisdom
966,Pull your own weight,Life & Wisdom
967,Stand on your own two feet,Life & Wisdom
968,Fend for yourself,Life & Wisdom
969,Bite the hand that feeds you,Life & Wisdom
970,Don't air your dirty laundry,Life & Wisdom
971,Sweep it under the rug,Life & Wisdom
972,Elephant in the room,Life & Wisdom
973,Hit the nail on the head,Life & Wisdom
974,Miss the forest for the trees,Life & Wisdom
975,Barking up the wrong tree,Life & Wisdom
976,On the right track,Life & Wisdom
977,On the wrong track,Life & Wisdom
978,Back on track,Life & Wisdom
979,Off the beaten path,Life & Wisdom
980,Blaze a trail,Life & Wisdom
981,Take the road less traveled,Life & Wisdom
982,Follow the crowd,Life & Wisdom
983,Stand out from the crowd,Life & Wisdom
984,Fit in,Life & Wisdom
985,Blend in,Life & Wisdom
986,Stand your ground,Life & Wisdom
987,Hold your horses,Everyday Conversation
988,Not so fast,Everyday Conversation
989,Pump the brakes,Everyday Conversation
990,Slow your roll,Everyday Conversation
991,Easy does it,Everyday Conversation
992,Take it down a notch,Everyday Conversation
993,Chill out,Everyday Conversation
994,Calm down,Everyday Conversation
995,Settle down,Everyday Conversation
996,Cool it,Everyday Conversation
997,Keep it together,Everyday Conversation
998,Hold it together,Everyday Conversation
999,Get yourself together,Everyday Conversation
1000,Keep your cool,Everyday Conversation
